Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Umenyiora, Osi",ATL,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Lloyd, Brandon",SF,14,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Mathis, Rashean",DET,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Manning, Eli",NYG,16,6,0.4,1,30,1,-,-,-,-,-,-,-,-,-,-,0
"Orton, Kyle",BUF,12,6,0.5,1,18,1,-,-,-,-,-,-,-,-,-,-,0
"Hill, Shaun",STL,9,6,0.7,1,8,1,0,-,-,-,-,-,-,-,-,-,0
"Smith, Alex",KC,15,6,0.4,1,18,1,-,-,-,-,-,-,-,-,-,-,0
"Joseph, Johnathan",HOU,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Jackson, D'Qwell",IND,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Bethea, Antoine",SF,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Hagan, Derek",TEN,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Harper, Roman",CAR,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Ninkovich, Rob",NE,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Smith, Brad",PHI,13,6,0.5,1,-,-,0,-,-,-,0,0,0,-,-,-,0
"Avant, Jason",[],16,6,0.4,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Kuhn, John",GB,16,6,0.4,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Cromartie, Antonio",ARZ,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Lawson, Manny",BUF,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,0,0,0
"Finnegan, Cortland",MIA,12,6,0.5,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Grimes, Brent",MIA,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Spencer, Anthony",DAL,13,6,0.5,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Battle, Jackie",TEN,16,6,0.4,1,-,1,0,-,-,-,0,0,0,-,-,-,0
"Ginn Jr., Ted",ARZ,16,6,0.4,1,0,0,0,-,-,-,1,0,1,-,-,-,0
"Celek, Brent",PHI,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Penn, Donald",OAK,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Jones, Jacoby",BAL,16,6,0.4,1,-,0,0,-,-,-,1,1,0,-,-,-,0
"Felton, Jerome",MIN,16,6,0.4,1,-,0,0,-,-,-,0,0,0,0,1,0,0
"Abdullah, Husain",KC,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Morgan, Josh",CHI,14,6,0.4,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Phillips, John",SD,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Carter, Tony",DEN,8,6,0.8,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Moreno, Knowshon",MIA,3,6,2.0,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Delmas, Louis",MIA,13,6,0.5,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"McCourty, Jason",TEN,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Reece, Marcel",OAK,15,6,0.4,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Amendola, Danny",NE,16,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Fletcher, Bradley",PHI,15,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Gibson, Brandon",MIA,14,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Ogbonnaya, Chris",[],7,6,0.9,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Tate, Brandon",CIN,16,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Jenkins, Malcolm",PHI,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Pascoe, Bear",ATL,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Sanchez, Mark",PHI,9,6,0.7,1,14,1,-,-,-,-,-,-,-,-,-,-,0
"Mundy, Ryan",CHI,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Summers, Frank",BUF,10,6,0.6,1,-,1,0,-,-,-,0,0,0,-,-,-,0
"McCain, Brice",PIT,14,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Toler, Greg",IND,15,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Palmer, Michael",PIT,15,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Coffman, Chase",TEN,13,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"McCoy, Colt",WSH,5,6,1.2,1,4,1,-,-,-,-,-,-,-,-,-,-,0
"Hughes, Jerry",BUF,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Lewis, Kendrick",HOU,16,6,0.4,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"McCluster, Dexter",TEN,14,6,0.4,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Moeaki, Tony",SEA,6,6,1.0,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Griffen, Everson",MIN,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cruz, Victor",NYG,6,6,1.0,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Conner, John",NYJ,12,6,0.5,1,-,0,1,-,-,-,0,0,0,-,-,-,0
"Harbor, Clay",JAX,13,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Dray, Jim",CLE,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Dwyer, Jonathan",ARZ,2,6,3.0,1,-,1,0,-,-,-,-,-,-,-,-,-,0
"Stuckey, Darrell",SD,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Maragos, Chris",PHI,16,6,0.4,1,-,-,-,-,-,-,-,-,-,0,0,0,0
"Lorig, Erik",NO,10,6,0.6,1,-,0,1,-,-,-,-,-,-,0,0,0,0
"Williams, Mike",BUF,9,6,0.7,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Paulsen, Logan",WSH,16,6,0.4,1,-,-,1,-,-,-,0,0,0,-,-,-,0
