,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
179,180,2540211,0.2,1.6,0.0,0.0,3,Gavin Escobar,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
180,181,2540215,2.6,27.9,0.1,0.0,3,Vance McDonald,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99
181,182,2540232,1.2,13.7,0.1,0.0,3,Jack Doyle,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.17
182,183,2540257,0.0,0.0,0.0,0.0,3,Justice Cunningham,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,184,2540258,4.6,55.9,0.3,0.0,3,Travis Kelce,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,11.99
184,185,2540259,0.0,0.0,0.0,0.0,3,MarQueis Gray,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,186,2540928,1.4,15.0,0.1,0.0,3,Darren Fells,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
186,187,2541096,0.0,0.0,0.0,0.0,3,Ifeanyi Momah,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,188,2541151,0.0,0.0,0.0,0.0,3,Zach Sudfeld,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,189,2541187,0.3,2.7,0.0,0.0,3,Demetrius Harris,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57
189,190,2541199,1.1,13.1,0.1,0.0,3,Luke Willson,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01
190,191,2541316,1.3,14.7,0.1,0.0,3,Ryan Griffin,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37
191,192,2541768,0.0,0.0,0.0,0.0,3,Tim Wright,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,193,2541834,0.4,3.6,0.0,0.0,3,Josh Hill,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
193,194,2543466,3.9,42.4,0.2,0.0,3,Eric Ebron,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.34
194,195,2543481,0.0,0.0,0.0,0.0,3,Jace Amaro,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,196,2543628,0.3,3.3,0.0,0.0,3,Troy Niklas,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
196,197,2543683,1.6,23.0,0.1,0.0,3,Austin Seferian-Jenkins,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
197,198,2543721,1.0,9.0,0.1,0.0,3,C.J. Fiedorowicz,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
198,199,2543794,1.6,20.0,0.1,0.0,3,Crockett Gillmore,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.2
199,200,2550243,0.3,3.6,0.0,0.0,3,Justin Perillo,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
200,201,2550278,0.0,0.0,0.0,0.0,3,Blake Annen,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,202,2550284,2.2,26.6,0.1,0.0,3,Trey Burton,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.46
202,203,2550313,1.6,19.0,0.2,0.0,3,Richard Rodgers,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.7
203,204,2550355,0.0,0.0,0.0,0.0,3,Nic Jacobs,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,205,2550356,0.0,0.0,0.0,0.0,3,Marcel Jensen,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,206,2550405,0.2,1.9,0.0,0.0,3,Erik Swoope,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
206,207,2550454,0.0,0.0,0.0,0.0,3,Asante Cleveland,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,208,2550521,0.5,5.6,0.1,0.0,3,Xavier Grimble,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66
208,209,2550656,2.2,27.4,0.1,0.0,3,Cameron Brate,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.54
209,210,2551359,0.0,0.0,0.0,0.0,3,Jerome Cunningham,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,211,2552396,0.0,0.0,0.0,0.0,3,Ben Koyack,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,212,2552397,2.8,35.7,0.3,0.0,3,Clive Walford,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.17
