Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Stephen, Shamar",MIN,5,3,2,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Watts, Brandon",MIN,7,3,2,1,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Ballentine, Lonnie",HOU,2,3,3,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Coyle, Brock",SEA,8,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Odighizuwa, Owamagbe",NYG,4,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Hill, Troy",CIN,3,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Bowman, Zack",MIA,10,2,2,0,0.0,0,1,38,0,38,0,0,0,2,0,0.0,0.0
"Peerman, Cedric",CIN,16,2,2,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Clemons, Chris",ARZ,7,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Bush, Rafael",NO,1,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Lattimore, Jamari",NYJ,15,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Bellore, Nick",SF,16,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"McClain, Terrell",DAL,2,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Lemon, Orie",TB,8,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0
"Bolden, Omar",DEN,9,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Cole, Audie",MIN,7,2,2,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Brown, Kourtnei",[],5,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Hunt, Margus",CIN,7,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Webster, Kayvon",DEN,15,2,2,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
"Mulumba, Andy",GB,6,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Catapano, Mike",NYJ,3,2,1,1,1.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0
"Francis, A.J.",[],3,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Kovacs, Jordan",MIA,11,2,2,0,1.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0
"Thomas, Shamarko",PIT,15,2,1,1,0.0,0,0,0,0,0,0,1,0,0,0,1.0,3.0
"Cooper, Marcus",KC,10,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Walker, Casey",DAL,2,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"Watkins, Jaylen",PHI,4,2,2,0,0.0,0,0,0,0,0,0,0,0,4,0,0.0,0.0
"Jeffcoat, Jackson",WSH,6,2,2,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"McCain, Chris",MIA,8,2,2,0,1.0,7,0,0,0,0,1,0,0,0,0,0.0,0.0
"Alexander, D.J.",KC,16,2,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
"Steward, Tony",BUF,7,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Dzubnar, Nick",SD,16,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Fua, Alani",ARZ,16,2,2,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Williams, Xavier",ARZ,4,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Orr, Leon",OAK,3,2,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Shirley, Josh",TB,5,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0
"Patterson, Eric",[],3,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Tavai, J.R.",TEN,4,2,2,0,1.0,5,0,0,0,0,1,0,0,0,0,0.0,0.0
"Cole, Colin",CAR,2,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Slater, Matthew",NE,16,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
