ï»¿Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted
91,465431670,Rebel37,0,216.4,QB Ben Roethlisberger RB DeAngelo Williams RB Duke Johnson Jr. WR Antonio Brown WR Marvin Jones Jr. WR Willie Snead TE Dwayne Allen FLEX Spencer Ware DST Texans ,,Devin Funchess,3.64%
92,464717380,lazyb26 (2/2),0,216.36,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Kelvin Benjamin WR Amari Cooper TE Dwayne Allen FLEX Mark Ingram DST Panthers ,,Titans ,3.46%
93,464268159,mikev98 (3/10),0,216.34,QB Jameis Winston RB DeMarco Murray RB Spencer Ware WR Antonio Brown WR Willie Snead WR Mike Evans TE Dwayne Allen FLEX DeSean Jackson DST Browns ,,Jeremy Langford,3.45%
94,463952008,ImaScreamer (2/2),0,216.32,QB Drew Brees RB DeAngelo Williams RB Lamar Miller WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Zach Ertz FLEX Spencer Ware DST Titans ,,Kamar Aiken,3.38%
95,464042749,LGBuffalo (2/2),0,216.2,QB Andrew Luck RB Theo Riddick RB Spencer Ware WR Michael Crabtree WR T.Y. Hilton WR Allen Hurns TE Zach Ertz FLEX DeAngelo Williams DST Vikings ,,Larry Fitzgerald,3.30%
95,464980890,schaubz (1/2),0,216.2,QB Ben Roethlisberger RB DeAngelo Williams RB Lamar Miller WR Michael Crabtree WR Doug Baldwin WR Willie Snead TE Jason Witten FLEX Spencer Ware DST Packers ,,Anquan Boldin,3.27%
97,462111957,islandhopr (1/4),0,215.9,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Cole Beasley WR Amari Cooper TE Clive Walford FLEX Theo Riddick DST Texans ,,Jeremy Maclin,3.27%
98,465837188,TunaGuy,0,215.82,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Amari Cooper WR Corey Coleman TE Jason Witten FLEX LeSean McCoy DST Steelers ,,Brandon Marshall,3.26%
99,463473494,KingEmperorGod (35/50),0,215.72,QB Drew Brees RB Spencer Ware RB C.J. Anderson WR Willie Snead WR Donte Moncrief WR Brandin Cooks TE Jordan Reed FLEX Christine Michael DST Browns ,,Jameis Winston,3.25%
99,465744826,BDholla89 (11/50),0,215.72,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Tajae Sharpe TE Greg Olsen FLEX Coby Fleener DST Packers ,,Dez Bryant,3.24%
